attempt_id,inv_at,attempt_end,attempt_start, day_diff ,attempt_time,attempt_ct,out_of_window_seconds,network_disconnect_seconds,window_exit_ct,copy_paste_ct,q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,score_pct,pass
34142476,5/26/2043 2:26,12/2/2023 15:45,9/28/2023 17:32, 65.00 ,410691,2,48880,296528,49,0,,12001,18419,697,988,30150,1787,1402,4096,4462,7704,3113,25434,2984,0,1,0.00776,0.00769,0.00795,0.0079,0.00856,0.0076,0.00744,0.00787,0.00857,0.00763,0.00826,0.00811,0.00816,0.92,1
70520462,9/6/2048 4:10,10/6/2042 23:59,5/18/2040 18:51, 871.00 ,34856,2,9038,8336,50,0,320,10111,1872,240,565,1390,640,2619,2236,1679,1313,2270,1074,3,0,0,0.161949,0.126754,0.04042,0.074831,0.020223,0.037906,0.033629,0.024107,0.072974,0.04291,0.046794,0.016808,0.118006,0.85,0
69231038,5/19/2048 12:15,1/19/2042 2:45,10/1/2039 11:02, 841.00 ,428382,2,407107,327172,84,0,22,14179,552,4308,2906,20722,1748,1902,34600,19354,329,437,133,0,0,0,0.029128,0.06847,0.030186,0.093944,0.026382,0.012528,0.043117,0.02204,0.017212,0.015333,0.13303,0.102133,0.062957,0.85,0
56028122,2/21/2048 18:43,2/24/2038 6:47,4/21/2036 12:39, 674.00 ,85538,2,0,21769,0,0,190,1079,282,103,108,84,151,6637,8060,1113,599,4010,23430,17912,0,,0.014652,0.032565,0.033563,0.037163,0.039561,0.018699,0.036664,0.035285,0.019143,0.033271,0.020394,0.031401,,0.85,0
56028118,1/30/2048 20:20,9/16/2037 17:43,12/1/2035 18:55, 655.00 ,83366,2,0,66750,0,0,2891,102,24,73,43,2915,123,135,4981,116,1641,948,510,1461,,1,0.032663,0.031271,0.118619,0.033008,0.032518,0.109141,0.041973,0.031522,0.043571,0.03736,0.042471,,0.033097,0.85,0
47411584,9/21/2047 6:02,2/8/2032 19:07,12/20/2030 14:49, 415.00 ,256041,2,0,119187,0,0,16,301,59,111,153,227,514,110637,5312,5255,4408,5231,588,3920,,0,0.01419,0.016159,0.010845,0.015281,0.012509,0.012699,0.033053,0.024591,0.016128,0.034862,0.037229,,0.035814,0.85,0
81573646,1/15/2049 18:28,1/3/2051 4:59,8/28/2047 9:21," 1,224.00 ",29392,2,20504,9877,68,0,17,731,103,76,387,92,155,190,82,213,3087,160,399,13719,0,0,0.017337,0.019687,0.113113,0.019696,0.016636,0.017587,0.278347,0.013856,0.229665,0.084559,0.017633,0.021886,0.020634,0.84,0
69485018,4/27/2048 13:52,12/30/2041 1:07,9/13/2039 17:49, 839.00 ,75803,2,11222,39429,11,0,28,315,1022,6996,3466,4065,8810,710,1214,692,174,779,4334,3711,0,0,0.028741,0.102172,0.026281,0.187119,0.852467,0.04106,0.026242,0.017149,0.017478,0.032624,0.04557,0.033042,0.105583,0.84,0
34142010,8/22/2046 11:08,8/24/2023 7:35,7/2/2023 3:27, 53.00 ,173061,2,2018,160833,61,0,,715,588,3145,658,535,351,1465,1357,277,389,750,1877,98,0,0,0.00906,0.00833,0.00704,0.0069,0.00785,0.00745,0.0078,0.00736,0.00805,0.00728,0.0087,0.0075,0.00821,0.85,0
34141842,7/9/2046 14:22,6/25/2023 2:41,5/9/2023 23:48, 47.00 ,201894,2,30656,136466,131,0,,4478,429,4511,4540,5743,3991,11133,3057,2350,9659,1550,6456,7068,0,1,0.00732,0.00754,0.007,0.00714,0.00778,0.00796,0.0082,0.00719,0.00755,0.00744,0.011,0.0081,0.00822,0.85,0
